type,name,damage,element_buildup,element_type,affinity_mod,defense_mod,special,skills,level_1_decoration_slots,level_2_decoration_slots,level_3_decoration_slots,sharpness_base_red,sharpness_base_orange,sharpness_base_yellow,sharpness_base_green,sharpness_base_blue,sharpness_base_white,sharpness_base_purple,sharpness_max_red,sharpness_max_orange,sharpness_max_yellow,sharpness_max_green,sharpness_max_blue,sharpness_max_white,sharpness_max_purple
Dual Blades,Pink Maracas II,170,0,N/A,+5,0,,"Punishing Draw +2,Critical Draw +1",2,1,0,14,14,12,12,8,0,0,14,14,12,12,18,0,0
Dual Blades,Funky Maracas,220,0,N/A,+5,0,,"Punishing Draw +3,Critical Draw +2",3,3,1,12,12,12,12,10,12,0,12,12,12,12,10,22,0
Dual Blades,Dosha Fastflayers I,140,0,N/A,-5,20,,Power Prolonger +1,0,0,0,2,18,20,0,0,0,0,2,18,24,6,0,0,0
Dual Blades,Dosha Fastflayers II,180,0,N/A,-5,20,,Power Prolonger +2,1,0,0,6,18,16,10,0,0,0,6,18,16,20,0,0,0
Dual Blades,Dosha Fastflayers III,210,0,N/A,-5,20,,Power Prolonger +2,2,2,0,10,14,16,12,8,0,0,10,14,16,12,18,0,0
Dual Blades,Uth Ngarpatu I,160,10,Water,-15,0,,Power Prolonger +2,0,0,0,10,14,16,10,0,0,0,10,14,16,20,0,0,0
Dual Blades,Uth Ngarpatu II,190,14,Water,-15,0,,Power Prolonger +2,2,1,0,12,14,20,14,0,0,0,12,14,20,24,0,0,0
Dual Blades,Uth Ngarpatu III,220,17,Water,-15,0,,Power Prolonger +3,3,2,0,12,14,24,12,8,0,0,12,14,24,12,18,0,0
Dual Blades,Ngarpatu-of-the-Waves,240,20,Water,-15,0,,Power Prolonger +3,3,2,1,12,12,20,12,14,0,0,12,12,20,12,16,8,0
Dual Blades,Ajara Twin Edges I,130,9,Blast,+10,0,,Power Prolonger +2,0,0,0,10,10,14,16,0,0,0,10,10,14,26,0,0,0
Dual Blades,Ajara Twin Edges II,180,12,Blast,+10,0,,Power Prolonger +3,2,1,0,10,10,18,8,14,0,0,10,10,18,8,24,0,0
Dual Blades,Ajara-Panthaka,210,15,Blast,+10,0,,Power Prolonger +3,3,2,1,10,10,10,18,8,14,0,10,10,10,18,8,24,0
Dual Blades,Dosha Guardflayers I,180,0,N/A,-15,0,,Focus +2,1,0,0,2,14,24,10,0,0,0,2,14,24,20,0,0,0
Dual Blades,Dosha Guardflayers II,220,0,N/A,-15,0,,Focus +2,2,2,0,8,16,22,14,0,0,0,8,16,22,24,0,0,0
Dual Blades,Guardflayers Urbastra,250,0,N/A,-15,0,,Focus +2,3,3,1,6,12,20,18,14,0,0,6,12,20,18,16,8,0
Dual Blades,Twin Albiraths I,160,9,Fire,+15,0,,"Master's Touch +1,Critical Element +1",1,0,0,10,18,10,12,0,0,0,10,18,10,22,0,0,0
Dual Blades,Twin Albiraths II,180,12,Fire,+15,0,,"Master's Touch +1,Critical Element +1",2,1,0,10,20,10,8,12,0,0,10,20,10,8,16,6,0
Dual Blades,Wyvern Sentinels,210,15,Fire,+15,0,,"Master's Touch +1,Critical Element +1",3,2,1,10,26,10,10,8,6,0,10,26,10,10,8,16,0
Dual Blades,Jin Dhakoo I,190,27,Ice,0,0,,Focus +3,3,2,0,8,8,4,20,22,8,0,8,8,4,20,22,18,0
Dual Blades,Precipice Ulokiem,210,30,Ice,0,0,,Focus +3,3,2,1,8,8,2,16,24,12,0,8,8,2,16,24,22,0
Dual Blades,Chthonian Kusarigamas I,140,14,Dragon,+10,0,,Power Prolonger +2,1,0,0,10,10,12,18,0,0,0,10,10,12,28,0,0,0
Dual Blades,Chthonian Kusarigamas II,170,17,Dragon,+10,0,,Power Prolonger +3,2,1,0,10,10,10,16,14,0,0,10,10,10,16,24,0,0
Dual Blades,Bequeathed Oblivion,210,20,Dragon,+10,0,,Power Prolonger +3,3,2,1,10,10,12,16,20,12,0,10,10,12,16,20,12,0
Dual Blades,G. Veldian Harpes I,170,9,Dragon,-10,0,,Focus +2,1,1,0,20,2,18,10,0,0,0,20,2,18,20,0,0,0
Dual Blades,G. Veldian Harpes II,210,12,Dragon,-10,0,,Focus +2,2,2,0,20,8,18,14,0,0,0,20,8,18,16,8,0,0
Dual Blades,G. Inspired Ywain,240,15,Dragon,-10,0,,Focus +2,3,3,1,20,10,10,16,14,0,0,20,10,10,16,16,8,0
Dual Blades,Kut-Ku Pair I,180,18,Fire,0,0,,Power Prolonger +2,2,1,0,18,18,10,14,0,0,0,18,18,10,18,6,0,0
Dual Blades,Kut-Ku Pair II,210,22,Fire,0,0,,Power Prolonger +3,3,2,0,20,20,6,14,10,0,0,20,20,6,14,14,6,0
Dual Blades,Dual Kut-Ku,220,25,Fire,0,0,,Power Prolonger +3,3,2,1,20,22,4,12,12,0,0,20,22,4,12,14,8,0
Dual Blades,Dual Battleaxes I,180,14,Poison,0,0,,Power Prolonger +2,2,1,0,18,8,18,16,0,0,0,18,8,18,26,0,0,0
Dual Blades,Dual Battleaxes II,200,17,Poison,0,0,,Power Prolonger +3,2,1,0,18,10,12,10,10,0,0,18,10,12,10,20,0,0
Dual Blades,Final Battleaxes,230,20,Poison,0,0,,Power Prolonger +3,3,2,1,18,10,18,10,14,0,0,18,10,18,10,24,0,0
Dual Blades,Whirling Fulgur I,180,16,Lightning,+15,0,,Critical Element +3,2,1,0,8,20,18,14,0,0,0,8,20,18,16,8,0,0
Dual Blades,Fulgurtwins Guardiana,210,20,Lightning,+15,0,,Critical Element +3,3,2,1,8,18,24,6,14,0,0,8,18,24,6,14,10,0
Dual Blades,Blango Sai I,200,11,Ice,-10,0,,Power Prolonger +3,2,1,0,10,6,16,16,12,0,0,10,6,16,16,22,0,0
Dual Blades,Blango Trishula,230,15,Ice,-10,0,,Power Prolonger +3,3,2,1,10,6,16,16,10,12,0,10,6,16,16,10,22,0
Dual Blades,Gravios Warmakers I,210,17,Blast,-15,30,,Focus +3,2,1,0,16,14,16,14,0,0,0,16,14,16,20,4,0,0
Dual Blades,Gravios Conquerors,240,20,Blast,-15,30,,Focus +3,3,2,1,14,14,14,14,14,0,0,14,14,14,14,24,0,0
Dual Blades,Twin Flames I,180,16,Fire,+10,0,,Critical Boost +3,2,1,0,20,14,6,6,14,0,0,20,14,6,6,24,0,0
Dual Blades,Wyvern Lovers,200,20,Fire,+10,0,,Critical Boost +3,3,2,1,20,14,10,8,6,12,0,20,14,10,8,6,22,0
Dual Blades,Fledderklauen I,180,12,Dragon,+20,0,,Critical Element +3,3,2,0,10,14,16,10,8,12,0,10,14,16,10,8,22,0
Dual Blades,Hungerklauen,200,15,Dragon,+20,0,,Critical Element +3,3,2,1,10,10,16,8,8,18,0,10,10,16,8,8,28,0
Dual Blades,Veldian Harpes I,200,16,Dragon,0,0,,Focus +3,3,2,0,10,10,10,16,14,10,0,10,10,10,16,14,20,0
Dual Blades,Guild Knight Sabers I,130,14,Water,+10,0,,Focus +2,1,0,0,10,10,10,14,6,0,0,10,10,10,14,16,0,0
Dual Blades,Guild Knight Sabers II,160,17,Water,+10,0,,Focus +3,3,2,0,10,10,10,12,18,0,0,10,10,10,12,28,0,0
Dual Blades,Master Sabers,200,20,Water,+10,0,,Focus +3,3,2,1,10,10,10,16,10,14,0,10,10,10,16,10,24,0
Dual Blades,Esperanza Daggers,210,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +2",3,2,1,10,12,8,12,8,20,0,10,12,8,12,8,30,0
Dual Blades,Artian Edges I,170,22,N/A,+5,0,,,2,2,2,16,8,12,16,8,0,0,16,8,12,16,12,6,0
Dual Blades,Artian Edges II,180,22,N/A,+5,0,,,2,2,2,16,8,12,16,14,4,0,16,8,12,16,14,14,0
Dual Blades,Tiltkreise,190,25,N/A,+5,0,,,3,3,3,16,8,12,16,14,4,0,16,8,12,16,14,14,0
Dual Blades,Fastflayers Jambastra,240,0,N/A,-5,20,,Power Prolonger +2,3,3,1,10,20,18,10,12,0,0,10,20,18,10,12,10,0
Dual Blades,Inspired Ywain,220,20,Dragon,0,0,,Focus +3,3,2,1,10,10,10,14,12,14,0,10,10,10,14,12,24,0
Long Sword,Hope Edge I,90,0,N/A,0,0,,,0,0,0,10,12,8,10,0,0,0,10,12,8,20,0,0,0
Long Sword,Hope Edge II,100,0,N/A,0,0,,Speed Sharpening +1,0,0,0,8,10,10,12,0,0,0,8,10,10,22,0,0,0
Long Sword,Hope Edge III,130,0,N/A,0,0,,"Speed Sharpening +1,Critical Eye +1",0,0,0,10,12,12,16,0,0,0,10,12,12,26,0,0,0
Long Sword,Hope Edge IV,160,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +1",2,1,0,10,12,14,14,10,0,0,10,12,14,14,20,0,0
Long Sword,Hope Edge V,190,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +1",3,2,0,10,12,12,16,10,10,0,10,12,12,16,10,20,0
Long Sword,Rey Tonitrus I,140,15,Lightning,0,0,,"Focus +1,Punishing Draw +1",0,0,0,2,2,30,16,0,0,0,2,2,30,26,0,0,0
Long Sword,Rey Tonitrus II,170,19,Lightning,0,0,,"Focus +1,Punishing Draw +1",2,1,0,2,2,26,20,10,0,0,2,2,26,20,20,0,0
Long Sword,Rey Tonitrus III,200,22,Lightning,0,0,,"Focus +2,Punishing Draw +1",3,2,0,2,2,24,16,16,10,0,2,2,24,16,16,20,0
Long Sword,Tonitrus Clairblade,220,25,Lightning,0,0,,"Focus +2,Punishing Draw +1",3,2,1,2,2,22,14,14,16,0,2,2,22,14,14,26,0
Long Sword,Stahlfakt I,180,27,Dragon,+20,0,,Critical Element +3,3,2,0,10,14,16,14,8,8,0,10,14,16,14,8,18,0
Long Sword,Stahlrecht,210,30,Dragon,+20,0,,Critical Element +3,3,2,1,10,10,16,12,8,14,0,10,10,16,12,8,24,0
Long Sword,Uth Khlunda I,160,20,Water,-15,0,,Power Prolonger +2,0,0,0,10,14,20,6,0,0,0,10,14,20,16,0,0,0
Long Sword,Uth Khlunda II,190,26,Water,-15,0,,Power Prolonger +2,2,1,0,12,14,24,10,0,0,0,12,14,24,20,0,0,0
Long Sword,Uth Khlunda III,220,32,Water,-15,0,,Power Prolonger +3,3,2,0,12,14,24,16,4,0,0,12,14,24,16,14,0,0
Long Sword,Khlunda-of-the-Waves,240,35,Water,-15,0,,Power Prolonger +3,3,2,1,12,12,20,16,10,0,0,12,12,20,16,12,8,0
Long Sword,Windclaw Blade I,140,18,Ice,0,0,,"Focus +2,Airborne +1",0,0,0,10,12,16,12,0,0,0,10,12,16,22,0,0,0
Long Sword,Windclaw Blade II,170,23,Ice,0,0,,"Focus +2,Airborne +1",2,1,0,10,10,14,20,6,0,0,10,10,14,20,16,0,0
Long Sword,Windclaw Blade III,200,27,Ice,0,0,,"Focus +3,Airborne +1",3,2,0,10,10,10,6,28,6,0,10,10,10,6,28,16,0
Long Sword,Windclaw Kiribami,220,30,Ice,0,0,,"Focus +3,Airborne +1",3,2,1,10,10,10,6,24,10,0,10,10,10,6,24,20,0
Long Sword,Quematrice Lima I,100,10,Fire,+5,0,,Punishing Draw +1,0,0,0,10,14,10,6,0,0,0,10,14,10,16,0,0,0
Long Sword,Quematrice Lima II,140,12,Fire,+5,0,,Punishing Draw +2,0,0,0,10,16,12,12,0,0,0,10,16,12,22,0,0,0
Long Sword,Quematrice Lima III,170,15,Fire,+5,0,,Punishing Draw +2,2,1,0,14,16,16,10,4,0,0,14,16,16,10,14,0,0
Long Sword,Quematrice Lima IV,210,17,Fire,+5,0,,Punishing Draw +3,3,2,0,14,16,16,16,8,0,0,14,16,16,16,18,0,0
Long Sword,Firetrail Ferrocere,230,20,Fire,+5,0,,Punishing Draw +3,3,2,1,12,14,16,16,12,0,0,12,14,16,16,22,0,0
Long Sword,Iron Katana I,120,0,N/A,0,0,,Critical Draw +1,0,0,0,6,8,18,8,0,0,0,6,8,18,18,0,0,0
Long Sword,Iron Katana II,160,0,N/A,0,0,,Critical Draw +2,1,0,0,6,12,18,14,0,0,0,6,12,18,24,0,0,0
Long Sword,Iron Katana III,190,0,N/A,0,0,,Critical Draw +3,2,1,0,6,14,18,12,10,0,0,6,14,18,12,20,0,0
Long Sword,Keen Edge,220,0,N/A,0,0,,Critical Draw +3,3,2,1,6,12,18,14,10,10,0,6,12,18,14,10,20,0
Long Sword,"Wyvern Blade ""Ash"" I",160,21,Fire,+15,0,,"Master's Touch +1,Critical Element +1",1,0,0,10,20,12,8,0,0,0,10,20,12,18,0,0,0
Long Sword,"Wyvern Blade ""Ash"" II",180,26,Fire,+15,0,,"Master's Touch +1,Critical Element +1",2,1,0,10,24,10,8,8,0,0,10,24,10,8,12,6,0
Long Sword,"Wyvern Blade ""Lily""",210,30,Fire,+15,0,,"Master's Touch +1,Critical Element +1",3,2,1,10,30,10,8,8,4,0,10,30,10,8,8,14,0
Long Sword,"Wyvern Blade ""Blood"" I",180,29,Fire,+10,0,,Critical Boost +3,2,1,0,20,14,10,6,10,0,0,20,14,10,6,20,0,0
Long Sword,"Wyvern Blade ""Maple""",200,35,Fire,+10,0,,Critical Boost +3,3,2,1,20,14,10,8,10,8,0,20,14,10,8,10,18,0
Long Sword,"Wyvern Blade ""Verde"" I",160,14,Poison,+15,0,,"Critical Status +2,Poison Duration Up +1",2,1,0,10,14,8,20,8,0,0,10,14,8,20,18,0,0
Long Sword,"Wyvern Blade ""Verde"" II",190,17,Poison,+15,0,,"Critical Status +3,Poison Duration Up +1",3,2,0,8,16,8,24,6,8,0,8,16,8,24,6,18,0
Long Sword,"Wyvern Blade ""Holly""",210,20,Poison,+15,0,,"Critical Status +3,Poison Duration Up +1",3,2,1,8,16,6,22,6,12,0,8,16,6,22,6,22,0
Long Sword,Barina Flamberge I,100,10,Paralysis,+10,0,,Critical Draw +1,0,0,0,10,10,8,12,0,0,0,10,10,8,22,0,0,0
Long Sword,Barina Flamberge II,120,13,Paralysis,+10,0,,"Critical Draw +1,Critical Status +1",0,0,0,14,10,6,20,0,0,0,14,10,6,30,0,0,0
Long Sword,Barina Flamberge III,150,18,Paralysis,+15,0,,"Critical Draw +1,Critical Status +1",2,1,0,14,10,6,20,10,0,0,14,10,6,20,20,0,0
Long Sword,Barina Flamberge IV,180,21,Paralysis,+15,0,,"Critical Draw +2,Critical Status +1",3,2,0,14,10,6,18,12,10,0,14,10,6,18,12,20,0
Long Sword,Lala Ornithocton,200,25,Paralysis,+15,0,,"Critical Draw +2,Critical Status +1",3,2,1,14,10,6,12,8,20,0,14,10,6,12,8,30,0
Long Sword,Blood Cry I,120,13,Sleep,+10,0,,Power Prolonger +2,0,0,0,14,10,6,20,0,0,0,14,10,6,30,0,0,0
Long Sword,Blood Cry II,150,18,Sleep,+15,0,,Power Prolonger +2,2,1,0,14,10,6,20,10,0,0,14,10,6,20,20,0,0
Long Sword,Blood Cry III,180,22,Sleep,+15,0,,Power Prolonger +3,3,2,0,14,10,6,18,12,10,0,14,10,6,18,12,20,0
Long Sword,Blood Scream,200,25,Sleep,+15,0,,Power Prolonger +3,3,2,1,14,10,6,12,8,20,0,14,10,6,12,8,30,0
Long Sword,Bone Shotel I,110,0,N/A,0,0,,Focus +1,0,0,0,10,16,14,0,0,0,0,10,16,22,2,0,0,0
Long Sword,Bone Shotel II,130,0,N/A,0,0,,"Focus +1,Attack Boost +1",0,0,0,10,10,20,0,0,0,0,10,10,24,6,0,0,0
Long Sword,Bone Shotel III,170,0,N/A,0,0,,"Focus +2,Attack Boost +1",1,0,0,10,14,20,6,0,0,0,10,14,20,16,0,0,0
Long Sword,Bone Shotel IV,200,0,N/A,0,0,,"Focus +3,Attack Boost +1",2,1,0,10,14,16,20,0,0,0,10,14,16,30,0,0,0
Long Sword,Hard Bone Shotel,230,0,N/A,0,0,,"Focus +3,Attack Boost +1",3,2,1,10,12,14,14,20,0,0,10,12,14,14,30,0,0
Long Sword,Gnashing Fulgur I,180,29,Lightning,+20,0,,Critical Element +3,2,1,0,8,20,22,10,0,0,0,8,20,22,12,8,0,0
Long Sword,Fulgurblade Guardiana,210,35,Lightning,+20,0,,Critical Element +3,3,2,1,8,18,24,10,10,0,0,8,18,24,10,10,10,0
Long Sword,Rompo Hacker I,140,15,Poison,0,0,,Power Prolonger +2,0,0,0,10,12,20,8,0,0,0,10,12,20,18,0,0,0
Long Sword,Rompo Hacker II,170,19,Poison,0,0,,Power Prolonger +2,2,1,0,10,10,20,18,2,0,0,10,10,20,18,12,0,0
Long Sword,Rompo Hacker III,200,22,Poison,0,0,,Power Prolonger +3,3,2,0,12,10,20,6,20,2,0,12,10,20,6,20,12,0
Long Sword,Rompo Mytoxin,220,25,Poison,0,0,,Power Prolonger +3,3,2,1,8,10,20,6,20,6,0,8,10,20,6,20,16,0
Long Sword,Dosha Fatecleaver I,140,0,N/A,-5,20,,Punishing Draw +1,0,0,0,6,18,16,0,0,0,0,6,18,20,6,0,0,0
Long Sword,Dosha Fatecleaver II,180,0,N/A,-5,20,,Punishing Draw +2,1,0,0,8,18,18,6,0,0,0,8,18,18,16,0,0,0
Long Sword,Dosha Fatecleaver III,210,0,N/A,-5,20,,Punishing Draw +3,2,1,0,10,16,18,12,4,0,0,10,16,18,12,14,0,0
Long Sword,Blanberge I,200,16,Ice,-10,0,,Critical Draw +3,2,1,0,10,6,20,16,8,0,0,10,6,20,16,18,0,0
Long Sword,Blangongaberge,230,20,Ice,-10,0,,Critical Draw +3,3,2,1,10,6,20,16,10,8,0,10,6,20,16,10,18,0
Long Sword,Dosha Gravecleaver I,180,0,N/A,-15,0,,Power Prolonger +2,1,0,0,6,14,24,6,0,0,0,6,14,24,16,0,0,0
Long Sword,Dosha Gravecleaver II,220,0,N/A,-15,0,,Power Prolonger +3,2,1,0,10,20,20,10,0,0,0,10,20,20,20,0,0,0
Long Sword,Gravecleaver Urkemush,250,0,N/A,-15,0,,Power Prolonger +3,3,2,1,10,14,18,18,10,0,0,10,14,18,18,14,6,0
Long Sword,G. Veldian Ensis I,170,14,Dragon,-10,0,,Focus +2,1,1,0,20,6,18,6,0,0,0,20,6,18,16,0,0,0
Long Sword,G. Veldian Ensis II,210,17,Dragon,-10,0,,Focus +2,2,2,0,20,12,18,10,0,0,0,20,12,18,12,8,0,0
Long Sword,G. Righteous Lancelot,240,20,Dragon,-10,0,,Focus +2,3,3,1,20,14,10,16,10,0,0,20,14,10,16,12,8,0
Long Sword,Veldian Ensis I,200,32,Dragon,0,0,,Focus +3,3,2,0,10,10,10,16,18,6,0,10,10,10,16,18,16,0
Long Sword,Artian Saber I,170,23,N/A,+5,0,,,2,2,2,16,8,12,16,8,0,0,16,8,12,16,12,6,0
Long Sword,Artian Saber II,180,23,N/A,+5,0,,,2,2,2,16,8,12,16,14,4,0,16,8,12,16,14,14,0
Long Sword,Dimensius,190,27,N/A,+5,0,,,3,3,3,16,8,12,16,14,4,0,16,8,12,16,14,14,0
Long Sword,Esperanza Edge,210,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +2",3,2,1,10,12,12,12,8,16,0,10,12,12,12,8,26,0
Long Sword,Fatecleaver Kimkemush,240,0,N/A,-5,20,,Punishing Draw +3,3,2,1,10,20,22,10,8,0,0,10,20,22,10,8,10,0
Long Sword,Righteous Lancelot,220,35,Dragon,0,0,,Focus +3,3,2,1,10,10,10,14,16,10,0,10,10,10,14,16,20,0
Hammer,Hope Hammer I,90,0,N/A,0,0,,,0,0,0,10,12,10,8,0,0,0,10,12,10,18,0,0,0
Hammer,Hope Hammer II,100,0,N/A,0,0,,Speed Sharpening +1,0,0,0,8,10,12,10,0,0,0,8,10,12,20,0,0,0
Hammer,Hope Hammer III,130,0,N/A,0,0,,"Speed Sharpening +1,Critical Eye +1",0,0,0,10,12,14,14,0,0,0,10,12,14,24,0,0,0
Hammer,Hope Hammer IV,160,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +1",2,1,0,10,12,16,14,8,0,0,10,12,16,14,18,0,0
Hammer,Hope Hammer V,190,0,N/A,0,0,,"Speed Sharpening +2,Critical Eye +1",3,2,0,10,12,14,16,10,8,0,10,12,14,16,10,18,0
Hammer,Bone Bludgeon I,110,0,N/A,0,0,,Focus +1,0,0,0,10,18,12,0,0,0,0,10,18,20,2,0,0,0
Hammer,Bone Bludgeon II,130,0,N/A,0,0,,"Focus +2,Attack Boost +1",0,0,0,10,12,18,0,0,0,0,10,12,22,6,0,0,0
Hammer,Bone Bludgeon III,170,0,N/A,0,0,,"Focus +2,Attack Boost +1",1,0,0,10,16,20,4,0,0,0,10,16,20,14,0,0,0
Hammer,Bone Bludgeon IV,200,0,N/A,0,0,,"Focus +3,Attack Boost +1",2,1,0,10,16,16,18,0,0,0,10,16,16,28,0,0,0
Hammer,Heavy Bone Bludgeon,230,0,N/A,0,0,,"Focus +3,Attack Boost +1",3,2,1,10,14,14,14,18,0,0,10,14,14,14,28,0,0
Hammer,Iron Hammer I,120,0,N/A,0,0,,Critical Draw +1,0,0,0,8,8,18,6,0,0,0,8,8,18,16,0,0,0
Hammer,Iron Hammer II,160,0,N/A,0,0,,Critical Draw +2,1,0,0,8,12,18,12,0,0,0,8,12,18,22,0,0,0
Hammer,Iron Hammer III,190,0,N/A,0,0,,Critical Draw +2,2,1,0,8,14,18,12,8,0,0,8,14,18,12,18,0,0
Hammer,Iron Devil,220,0,N/A,0,0,,Critical Draw +3,3,2,1,8,12,18,14,10,8,0,8,12,18,14,10,18,0
Hammer,Chata Clobberer I,110,0,N/A,0,15,,Charge Up +1,0,0,0,10,6,22,2,0,0,0,10,6,22,12,0,0,0
Hammer,Chata Clobberer II,150,0,N/A,0,15,,"Charge Up +1,Stamina Thief +1",0,0,0,16,6,24,4,0,0,0,16,6,24,14,0,0,0
Hammer,Chata Clobberer III,180,0,N/A,0,15,,"Charge Up +1,Stamina Thief +1",2,1,0,14,6,22,16,2,0,0,14,6,22,16,12,0,0
Hammer,Chata Clobberer IV,210,0,N/A,0,15,,"Charge Up +1,Stamina Thief +2",3,2,0,12,6,24,20,8,0,0,12,6,24,20,18,0,0
Hammer,Balahara Hammer I,110,16,Water,+10,0,,Slugger +1,0,0,0,10,6,18,6,0,0,0,10,6,18,16,0,0,0
Hammer,Balahara Hammer II,150,20,Water,+10,0,,Slugger +2,1,0,0,12,6,20,12,0,0,0,12,6,20,22,0,0,0
Hammer,Balahara Hammer III,160,23,Water,+10,0,,Slugger +2,2,1,0,10,6,22,18,4,0,0,10,6,22,18,14,0,0
Hammer,Balahara Hammer IV,190,27,Water,+10,0,,Slugger +3,3,2,0,8,6,22,18,14,2,0,8,6,22,18,14,12,0
Hammer,Sandsea Siamitiya,210,30,Water,+10,0,,Slugger +3,3,2,1,8,6,20,18,14,4,0,8,6,20,18,14,14,0
Hammer,Rompo Wrecker I,140,17,Poison,0,0,,Focus +2,0,0,0,12,12,20,6,0,0,0,12,12,20,16,0,0,0
Hammer,Rompo Wrecker II,170,24,Poison,0,0,,Focus +2,2,1,0,10,10,20,18,2,0,0,10,10,20,18,12,0,0
Hammer,Rompo Wrecker III,200,27,Poison,0,0,,Focus +3,3,2,0,12,10,20,6,20,2,0,12,10,20,6,20,12,0
Hammer,Rompo Robustox,220,30,Poison,0,0,,Focus +3,3,2,1,10,10,20,6,20,4,0,10,10,20,6,20,14,0
Hammer,Cluster Hammer I,120,15,Sleep,+10,0,,"Charge Master +1,Focus +1",0,0,0,14,12,6,18,0,0,0,14,12,6,28,0,0,0
Hammer,Cluster Hammer II,150,21,Sleep,+15,0,,"Charge Master +1,Focus +1",2,1,0,14,12,6,20,8,0,0,14,12,6,20,18,0,0
Hammer,Cluster Hammer III,180,27,Sleep,+15,0,,"Charge Master +2,Focus +1",3,2,0,14,12,6,18,12,8,0,14,12,6,18,12,18,0
Hammer,Nerscrapper,200,30,Sleep,+15,0,,"Charge Master +2,Focus +1",3,2,1,14,12,6,12,8,18,0,14,12,6,12,8,28,0
Hammer,Nu Pulpo I,170,20,Fire,-15,0,,"Protective Polish +2,Speed Sharpening +1",1,0,0,20,4,18,8,0,0,0,20,4,18,18,0,0,0
Hammer,Nu Pulpo II,210,27,Fire,-15,0,,"Protective Polish +2,Speed Sharpening +2",3,2,0,20,4,22,14,10,0,0,20,4,22,14,20,0,0
Hammer,Abaddonian Pulpo,230,30,Fire,-15,0,,"Protective Polish +3,Speed Sharpening +2",3,2,1,20,4,22,10,10,4,0,20,4,22,10,10,14,0
Hammer,Albirath Bludgeon I,160,21,Fire,+15,0,,"Master's Touch +1,Critical Element +1",1,0,0,10,20,14,6,0,0,0,10,20,14,16,0,0,0
Hammer,Albirath Bludgeon II,180,26,Fire,+15,0,,"Master's Touch +1,Critical Element +1",2,1,0,10,24,10,10,6,0,0,10,24,10,10,10,6,0
Hammer,Gibil Hammer,210,30,Fire,+15,0,,"Master's Touch +1,Critical Element +1",3,2,1,10,30,10,8,8,4,0,10,30,10,8,8,14,0
Hammer,Jin Dhauda I,190,47,Ice,0,0,,Focus +3,3,2,0,8,8,10,20,22,2,0,8,8,10,20,22,12,0
Hammer,Precipice Logamtu,210,50,Ice,0,0,,Focus +3,3,2,1,8,8,8,16,24,6,0,8,8,8,16,24,16,0
Hammer,Nihil Hammer I,160,16,Water,0,0,,Focus +2,1,0,0,4,22,12,12,0,0,0,4,22,12,22,0,0,0
Hammer,Nihil Hammer II,190,21,Water,0,0,,Focus +3,2,1,0,4,22,14,12,8,0,0,4,22,14,12,18,0,0
Hammer,Zaccio's Execution,220,25,Water,0,0,,Focus +3,3,2,1,4,22,10,10,12,12,0,4,22,10,10,12,22,0
Hammer,G. Veldian Malleus I,170,16,Dragon,-10,0,,Focus +2,1,1,0,20,8,18,4,0,0,0,20,8,18,14,0,0,0
Hammer,G. Veldian Malleus II,210,21,Dragon,-10,0,,Focus +2,2,2,0,20,14,18,8,0,0,0,20,14,18,10,8,0,0
Hammer,G. Exultant Bedivere,240,25,Dragon,-10,0,,Focus +2,3,3,1,20,16,10,16,8,0,0,20,16,10,16,10,8,0
Hammer,Kut-Ku Pick I,180,41,Fire,0,0,,Charge Master +2,2,1,0,20,20,12,8,0,0,0,20,20,12,12,6,0,0
Hammer,Kut-Ku Pick II,210,47,Fire,0,0,,Charge Master +3,3,2,0,20,24,8,14,4,0,0,20,24,8,14,8,6,0
Hammer,Kut-Ku Thwap,220,50,Fire,0,0,,Charge Master +3,3,2,1,22,24,6,12,6,0,0,22,24,6,12,8,8,0
Hammer,Venom Monster I,180,31,Poison,0,0,,"Critical Draw +1,Charge Up +1",2,1,0,18,10,22,10,0,0,0,18,10,22,20,0,0,0
Hammer,Venom Monster II,200,34,Poison,0,0,,"Critical Draw +2,Charge Up +1",2,1,0,18,10,16,12,4,0,0,18,10,16,12,14,0,0
Hammer,Death Venom Hammer,230,40,Poison,0,0,,"Critical Draw +3,Charge Up +1",3,3,1,18,10,22,12,8,0,0,18,10,22,12,18,0,0
Hammer,Crashing Fulgur I,180,39,Lightning,+15,0,,Critical Element +3,2,1,0,8,20,24,8,0,0,0,8,20,24,10,8,0,0
Hammer,Fulgurhammer Guardiana,210,45,Lightning,+15,0,,Critical Element +3,3,2,1,8,18,24,12,8,0,0,8,18,24,12,8,10,0
Hammer,Blan Gada I,200,21,Ice,-10,0,,Slugger +3,2,1,0,10,6,22,16,6,0,0,10,6,22,16,16,0,0
Hammer,Singha Gada,230,25,Ice,-10,0,,Slugger +3,3,2,1,10,6,22,16,10,6,0,10,6,22,16,10,16,0
Hammer,Shell Hammer I,210,34,Blast,-20,30,,Charge Master +3,2,1,0,22,14,16,8,0,0,0,22,14,16,14,4,0,0
Hammer,Graviton Hammer,250,40,Blast,-20,30,,Charge Master +3,3,2,1,20,14,14,14,8,0,0,20,14,14,14,18,0,0
